,id,status,viralParams,pop,tau,phase
57,57,R,R,"[1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.0475059441406245, 1.1026378359374995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1606714062499994, 1.2860624999999997, 1.2217593749999995, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 1.1606714062499994, 1.1606714062499994, 1.1026378359374995, 1.1026378359374995, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.0475059441406243, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1606714062499996, 1.1606714062499996, 1.1606714062499996, 1.1606714062499996, 1.1606714062499996, 0.8532001384146896, 1.1026378359374993, 0.9951306469335933, 0.9951306469335933, 0.9453741145869136, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.8981054088575678, 0.8981054088575678, 0.810540131493955, 0.810540131493955, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 0.9453741145869136, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 0.9951306469335932, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 1.1026378359374995, 1.0475059441406245, 0.9951306469335933, 0.9951306469335933, 0.9951306469335933, 0.9951306469335933, 1.1606714062499996, 1.1606714062499996, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 0.9951306469335933, 0.9951306469335933, 1.0475059441406245, 1.0475059441406245, 0.9453741145869136]",9.0,8.0
58,58,S,,[],0.0,81.0
59,59,S,,[],0,0
60,60,R,R,"[1.0475059441406243, 0.9453741145869133, 0.8981054088575676, 1.1606714062499994, 1.0475059441406243, 1.0475059441406243, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.2217593749999995, 1.2860624999999997, 1.2860624999999997, 1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2217593749999995, 1.2217593749999995, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 0.8981054088575678, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9453741145869133, 0.9453741145869133, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9453741145869134, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9453741145869136, 0.9453741145869136, 1.0475059441406243, 0.995130646933593, 0.9951306469335931, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 1.0475059441406243, 1.0475059441406243, 0.8981054088575678, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.8981054088575678, 0.8981054088575678, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 0.995130646933593, 0.995130646933593, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.0475059441406243]",30.0,29.0
61,61,R,R,"[0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 0.9453741145869133, 0.9453741145869133, 0.995130646933593, 0.995130646933593, 0.995130646933593, 1.0475059441406243, 1.0475059441406243, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 0.9453741145869133, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 0.9951306469335932, 0.9951306469335932, 0.9453741145869136, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 1.0475059441406243, 0.9453741145869136, 0.8981054088575678, 0.8981054088575678, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 0.9951306469335932, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 0.995130646933593, 0.995130646933593, 0.995130646933593, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1606714062499994, 1.0475059441406243, 1.1606714062499994, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.9453741145869133, 0.9453741145869133, 0.9453741145869133, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993]",57.0,56.0
62,62,S,,[],0,0
63,63,S,,[],0.0,17.0
64,64,S,,[],0.0,60.0
65,65,R,R,"[1.2860624999999999, 1.2860624999999999, 1.2860624999999999, 1.2860624999999999, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.2860624999999997, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.2217593749999995, 1.1606714062499994, 1.1606714062499994, 1.2860624999999997, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.2860624999999997, 1.2860624999999997, 1.3537499999999998, 1.4249999999999998, 1.1606714062499996, 1.1606714062499996, 1.2860624999999997, 1.2860624999999997, 1.3537499999999998, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.4249999999999998, 1.2217593749999998, 1.2217593749999998, 1.1606714062499996, 1.1606714062499996, 1.1026378359374998, 1.3537499999999998, 1.4249999999999998, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.4249999999999998, 1.4249999999999998, 1.5, 1.35375, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.2860624999999999, 1.2860624999999999, 1.2860624999999997, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.0475059441406247, 1.0475059441406247, 1.0475059441406247, 1.2860624999999997, 1.2860624999999997, 1.3537499999999998, 1.3537499999999998, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997]",5.0,4.0
66,66,R,R,"[0.9951306469335934, 0.9453741145869137, 0.9951306469335934, 0.9951306469335934, 1.2217593749999998, 1.2217593749999998, 1.2217593749999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2217593749999995, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.2217593749999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.2217593749999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.2860624999999999, 1.2860624999999999, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.2860624999999999, 1.2217593749999998, 1.1606714062499996, 1.2860624999999999, 1.2860624999999999, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.3537499999999998, 1.3537499999999998, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997]",4.0,3.0
